Rating,Roaster,Coffee_Name,Review_Date,Review_Description,Complete_Review_URL,Roaster_Website_URL,Roaster Location,Coffee Origin,Roast Level,Aroma,Acidity/Structure,Acidity,Body,Flavor,Aftertaste,Agtron,Blind Assessment,Notes,Bottom Line,url,Price
93,Paradise Roasters,Espresso Classico,Jun 2023,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.",https://www.coffeereview.com/review/espresso-classico-9/,https://paradiseroasters.com/,"Hilo, Big Island of Hawai’i",Brazil; Thailand; Nicaragua; Ecuador,Medium,9,,,8						,9,8,52/64,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.","A blend of Arabica coffees from Brazil, Thailand, and Nicaragua, and a Robusta from Ecuador, roasted for espresso applications. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information. ","A trifecta of tart fruit, deep chocolate and spicy floral notes, this espresso blend offers further intrigue with its successful inclusion of a Robusta component. Especially rich in cappuccino format.",https://www.coffeereview.com/review/espresso-classico-9/,$19.00/12 ounces
93,Paradise Roasters,Espresso Classico,Jun 2023,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.",https://www.coffeereview.com/review/espresso-classico-9/,https://paradiseroasters.com/,"Hilo, Big Island of Hawai’i",Brazil; Thailand; Nicaragua; Ecuador,Medium,9,,,8						,9,8,52/64,"Evaluated as espresso. Sweetly tart, richly bright. Pomegranate, dark chocolate, narcissus, tangerine zest, brown sugar in aroma and cup. Crisp, satiny mouthfeel, chocolaty, fruit-tart finish. In cappuccino-scaled milk, pomegranate and dark chocolate notes are juxtaposed with narcissus.","A blend of Arabica coffees from Brazil, Thailand, and Nicaragua, and a Robusta from Ecuador, roasted for espresso applications. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information. ","A trifecta of tart fruit, deep chocolate and spicy floral notes, this espresso blend offers further intrigue with its successful inclusion of a Robusta component. Especially rich in cappuccino format.",https://www.coffeereview.com/review/espresso-classico-9/,$19.00/12 ounces
95,Bargain Cafe,Colombia Tolima Finca El Vergel Rebel Geisha,Jun 2023,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ",https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,https://www.bargain-cafe.com/,"Taitung, Taiwan","Tolima, Colombia",Light,9,9,,9						,9,9,63/81,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ","Produced by Marta Bayter and her sons, Shady and Elias, of Vergel Estate. Composed entirely of the Geisha variety of Arabica, and processed by the honey or semi-washed method, in which the skins are removed from the fruit but some of the fruit flesh is allowed to dry on the beans. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.",An enticingly rich Colombia Geisha aromatic fireworks whose promise is fulfilled in the cup with deep oolong-like impulses and sweet citrus zest.,https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,NT $550/200 grams
95,Bargain Cafe,Colombia Tolima Finca El Vergel Rebel Geisha,Jun 2023,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ",https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,https://www.bargain-cafe.com/,"Taitung, Taiwan","Tolima, Colombia",Light,9,9,,9						,9,9,63/81,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ","Produced by Marta Bayter and her sons, Shady and Elias, of Vergel Estate. Composed entirely of the Geisha variety of Arabica, and processed by the honey or semi-washed method, in which the skins are removed from the fruit but some of the fruit flesh is allowed to dry on the beans. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.",An enticingly rich Colombia Geisha aromatic fireworks whose promise is fulfilled in the cup with deep oolong-like impulses and sweet citrus zest.,https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,NT $550/200 grams
95,Bargain Cafe,Colombia Tolima Finca El Vergel Rebel Geisha,Jun 2023,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ",https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,https://www.bargain-cafe.com/,"Taitung, Taiwan","Tolima, Colombia",Light,9,9,,9						,9,9,63/81,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ","Produced by Marta Bayter and her sons, Shady and Elias, of Vergel Estate. Composed entirely of the Geisha variety of Arabica, and processed by the honey or semi-washed method, in which the skins are removed from the fruit but some of the fruit flesh is allowed to dry on the beans. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.",An enticingly rich Colombia Geisha aromatic fireworks whose promise is fulfilled in the cup with deep oolong-like impulses and sweet citrus zest.,https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,NT $550/200 grams
95,Bargain Cafe,Colombia Tolima Finca El Vergel Rebel Geisha,Jun 2023,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ",https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,https://www.bargain-cafe.com/,"Taitung, Taiwan","Tolima, Colombia",Light,9,9,,9						,9,9,63/81,"Complex, multi-layered. Green oolong, rosehips, sandalwood, gingko, Meyer lemon zest in aroma and and cup. Exceptionally sweet with elegant acidity; plush, syrupy mouthfeel. Richly resonant, sweetly tart finish. ","Produced by Marta Bayter and her sons, Shady and Elias, of Vergel Estate. Composed entirely of the Geisha variety of Arabica, and processed by the honey or semi-washed method, in which the skins are removed from the fruit but some of the fruit flesh is allowed to dry on the beans. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.",An enticingly rich Colombia Geisha aromatic fireworks whose promise is fulfilled in the cup with deep oolong-like impulses and sweet citrus zest.,https://www.coffeereview.com/review/colombia-tolima-finca-el-vergel-rebel-geisha/,NT $550/200 grams
95,Ingenuity Coffee Roastery,Colombia Buenos Aires Honey Process-Yellow Velvet Peach,Jun 2023,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,,"Changhua, Taiwan","Quindio Department, Pijao Village, Colombia",Medium-Light,9,9,,9						,9,9,60/77,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.","Produced at Finca Buenos Aires, entirely of the Castillo variety of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying, in this case, with the addition of peaches to the fermentation.  Ingenuity Coffee Roastery is a specialty coffee roaster based in Changhua, Taiwan. Visit https://shopee.tw/etmax123 for more information. ","A powerfully aromatic, flavor-saturated, experimentally processed Colombia cup that has been co-fermented with peaches.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,NT $520/200 grams
95,Ingenuity Coffee Roastery,Colombia Buenos Aires Honey Process-Yellow Velvet Peach,Jun 2023,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,,"Changhua, Taiwan","Quindio Department, Pijao Village, Colombia",Medium-Light,9,9,,9						,9,9,60/77,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.","Produced at Finca Buenos Aires, entirely of the Castillo variety of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying, in this case, with the addition of peaches to the fermentation.  Ingenuity Coffee Roastery is a specialty coffee roaster based in Changhua, Taiwan. Visit https://shopee.tw/etmax123 for more information. ","A powerfully aromatic, flavor-saturated, experimentally processed Colombia cup that has been co-fermented with peaches.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,NT $520/200 grams
95,Ingenuity Coffee Roastery,Colombia Buenos Aires Honey Process-Yellow Velvet Peach,Jun 2023,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,,"Changhua, Taiwan","Quindio Department, Pijao Village, Colombia",Medium-Light,9,9,,9						,9,9,60/77,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.","Produced at Finca Buenos Aires, entirely of the Castillo variety of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying, in this case, with the addition of peaches to the fermentation.  Ingenuity Coffee Roastery is a specialty coffee roaster based in Changhua, Taiwan. Visit https://shopee.tw/etmax123 for more information. ","A powerfully aromatic, flavor-saturated, experimentally processed Colombia cup that has been co-fermented with peaches.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,NT $520/200 grams
95,Ingenuity Coffee Roastery,Colombia Buenos Aires Honey Process-Yellow Velvet Peach,Jun 2023,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,,"Changhua, Taiwan","Quindio Department, Pijao Village, Colombia",Medium-Light,9,9,,9						,9,9,60/77,"Fruit-toned, tropical. Strawberry-guava, freesia, ginseng, elm, cocoa nib in aroma and cup. Vibrantly sweet, juicy acidity; full, syrupy mouthfeel. Long, complex finish that leads with ginseng notes, followed by cocoa nib.","Produced at Finca Buenos Aires, entirely of the Castillo variety of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying, in this case, with the addition of peaches to the fermentation.  Ingenuity Coffee Roastery is a specialty coffee roaster based in Changhua, Taiwan. Visit https://shopee.tw/etmax123 for more information. ","A powerfully aromatic, flavor-saturated, experimentally processed Colombia cup that has been co-fermented with peaches.",https://www.coffeereview.com/review/colombia-buenos-aires-honey-process-yellow-velvet-peach/,NT $520/200 grams
94,Bargain Cafe,Encounter of Summer,Jun 2023,"Tropical-fruity, richly aromatic. Guava, passionflower, tangerine zest, macadamia nut, marjoram in aroma and cup. Complexly layered with punchy acidity; very full, syrupy mouthfeel. Sweet herb notes highlight a long, savory finish.",https://www.coffeereview.com/review/encounter-of-summer/,https://www.bargain-cafe.com/,"Taitung, Taiwan",Costa Rica; Ethiopia,Light,9,9,,9						,9,8,62/80,"Tropical-fruity, richly aromatic. Guava, passionflower, tangerine zest, macadamia nut, marjoram in aroma and cup. Complexly layered with punchy acidity; very full, syrupy mouthfeel. Sweet herb notes highlight a long, savory finish.","A blend of two coffees: a double-anaerobic washed Costa Rica Catuai and a natural-processed Ethiopia Geisha. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.

 ",An unabashedly fruit-forward Costa Rica/Ethiopia blend that achieves balance and depth from sweet herb and citrus zest.,https://www.coffeereview.com/review/encounter-of-summer/,NT $450/200 grams
94,Bargain Cafe,Encounter of Summer,Jun 2023,"Tropical-fruity, richly aromatic. Guava, passionflower, tangerine zest, macadamia nut, marjoram in aroma and cup. Complexly layered with punchy acidity; very full, syrupy mouthfeel. Sweet herb notes highlight a long, savory finish.",https://www.coffeereview.com/review/encounter-of-summer/,https://www.bargain-cafe.com/,"Taitung, Taiwan",Costa Rica; Ethiopia,Light,9,9,,9						,9,8,62/80,"Tropical-fruity, richly aromatic. Guava, passionflower, tangerine zest, macadamia nut, marjoram in aroma and cup. Complexly layered with punchy acidity; very full, syrupy mouthfeel. Sweet herb notes highlight a long, savory finish.","A blend of two coffees: a double-anaerobic washed Costa Rica Catuai and a natural-processed Ethiopia Geisha. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.

 ",An unabashedly fruit-forward Costa Rica/Ethiopia blend that achieves balance and depth from sweet herb and citrus zest.,https://www.coffeereview.com/review/encounter-of-summer/,NT $450/200 grams
94,Bargain Cafe,Encounter of Summer,Jun 2023,"Tropical-fruity, richly aromatic. Guava, passionflower, tangerine zest, macadamia nut, marjoram in aroma and cup. Complexly layered with punchy acidity; very full, syrupy mouthfeel. Sweet herb notes highlight a long, savory finish.",https://www.coffeereview.com/review/encounter-of-summer/,https://www.bargain-cafe.com/,"Taitung, Taiwan",Costa Rica; Ethiopia,Light,9,9,,9						,9,8,62/80,"Tropical-fruity, richly aromatic. Guava, passionflower, tangerine zest, macadamia nut, marjoram in aroma and cup. Complexly layered with punchy acidity; very full, syrupy mouthfeel. Sweet herb notes highlight a long, savory finish.","A blend of two coffees: a double-anaerobic washed Costa Rica Catuai and a natural-processed Ethiopia Geisha. Bargain Cafe is a specialty coffee roaster in Taitung, Taiwan. Visit https://shopee.tw/iamjiter for more information.

 ",An unabashedly fruit-forward Costa Rica/Ethiopia blend that achieves balance and depth from sweet herb and citrus zest.,https://www.coffeereview.com/review/encounter-of-summer/,NT $450/200 grams
