Rating,Roaster,Coffee_Name,Review_Date,Review_Description,Complete_Review_URL,Roaster_Website_URL
93,Small Eyes Cafe,Ethiopia Gediyo Yirgacheffe Burtukan Wako Natural G1,Aug 2023,"Richly sweet, crisply floral. Magnolia, cashew, maple syrup, dried nectarine, myrrh in aroma and cup. Sweetly tart structure with bright, juicy acidity; silky-smooth mouthfeel. The crisp finish highlights notes of almond and myrrh. ",https://www.coffeereview.com/review/ethiopia-gediyo-yirgacheffe-burtukan-wako-natural-g1/,
92,Equator Coffees,Burundi Women of Turihamwe,Aug 2023,"Berry-driven, spice-toned. Mulberry, clove, ginger blossom, oak, baking chocolate in aroma and cup. Sweetly brisk acidity; very full, syrupy mouthfeel. The spice-toned finish leads with notes of ginger blossom and clove.",https://www.coffeereview.com/review/burundi-women-of-turihamwe/,https://www.equatorcoffees.com/
92,Nostalgia Coffee Roasters,Glory Days,Aug 2023,"Deep-toned, crisply chocolaty. Dark chocolate, dried cherry, cashew, gently scorched cedar, gardenia in aroma and cup. Richly sweet with mild acidity; viscous, syrupy mouthfeel. Very chocolaty finish with undertones of dried cherry and gardenia.",https://www.coffeereview.com/review/glory-days-3/,http://bit.ly/2WmKMJ9
92,Wonderstate Coffee,Ethiopia Idido Tiluse Honey Process,Aug 2023,"Deep-toned, sweetly citrusy. Pomelo, cantaloupe, cocoa nib, lemon-thyme, caramel in aroma and cup. Gently bright acidity; crisp, satiny mouthfeel. The finish consolidates to pretty notes of lemon-thyme and cantaloupe.",https://www.coffeereview.com/review/ethiopia-idido-tiluse-honey-process/,
91,Cafecita,Queen’s Crown Rwanda,Aug 2023,"Round, cocoa-toned, richly bittersweet. Cocoa nib, date, maple syrup, walnut, fresh-cut fir in aroma and cup. Softly brisk structure; lightly syrupy mouthfeel. Flavor consolidates around walnut and maple syrup in a crisp finish. ",https://www.coffeereview.com/review/queens-crown-rwanda/,
94,Jaunt Coffee Roasters,Colombia Finca La Roca,Aug 2023,"Juicy, fruit-driven. Dried apricot, rambutan, cocoa nib, magnolia, bergamot in aroma and cup. Sweetly tart structure with bright, vibrant acidity; full, syrupy-smooth mouthfeel. Floral finish with dried apricot undertones.",https://www.coffeereview.com/review/colombia-finca-la-roca/,https://jauntcoffee.com/
93,Jaunt Coffee Roasters,Colombia La Esperanza,Aug 2023,"Tangy-sweet, richly aromatic. Tamarind, salted caramel, cedar, magnolia, lemon yogurt in aroma and cup. Briskly sweet-tart acidity; very full, creamy-smooth mouthfeel. Tart-leaning finish with ballast from caramel notes.",https://www.coffeereview.com/review/colombia-la-esperanza-3/,https://jauntcoffee.com/
92,Forgotten Forest,Tanama Domenico Celli Borrero Anaerobic Natural,Aug 2023,"Richly sweet, balanced. Pomegranate, vanilla bean, rum barrel, lemon yogurt, honey in aroma and cup. Sweet-savory structure with brisk acidity; lightly satiny mouthfeel. Crisp, fruit-toned finish with hints of rum barrel and vanilla.",https://www.coffeereview.com/review/tanama-domenico-celli-borrero-anaerobic-natural/,
95,Big Shoulders Coffee,Ethiopia YirgZ,Aug 2023,"Deeply aromatic, rich-toned. Bergamot, nectarine, cocoa nib, hazelnut butter, wisteria in aroma and cup. Sweetly spice-toned with juicy, integrated acidity; silky, viscous mouthfeel. Balanced, long, very bright finish.",https://www.coffeereview.com/review/ethiopia-yirgz/,https://www.bigshoulderscoffee.com/
94,Big Shoulders Coffee,Colombia Patio Bonita,Aug 2023,"Richly cocoa-toned, citrusy. Tangerine, dark chocolate, pecan, marjoram, narcissus in aroma and cup. Gently bright acidity; crisp, creamy mouthfeel. Chocolaty finish with undertones of tangerine and pecan. ",https://www.coffeereview.com/review/colombia-patio-bonita/,https://www.bigshoulderscoffee.com/
94,JBC Coffee Roasters,Wilton Benitez Sidra,Aug 2023,"Delicately fruity, richly floral-toned. Froot Loops cereal, crimson lily, cocoa nib, tangerine zest, bay leaf in aroma and cup. Delicate juicy acidity; silky-smooth mouthfeel. Lily and cocoa nib support a crisply fruity finish.",https://www.coffeereview.com/review/wilton-benitez-sidra/,https://www.jbccoffeeroasters.com/product-category/coffee/
93,JBC Coffee Roasters,Twisted V.8 Espresso,Aug 2023,"Evaluated as espresso. Chocolaty, fruity, nutty. Dark chocolate, hazelnut butter, pomegranate, marjoram, cedar in aroma and small cup. Crisply satiny mouthfeel; richly chocolaty, nut-toned finish. In three parts milk, a trifecta of dark chocolate, hazelnut and pomegranate resonate in balanced harmony.",https://www.coffeereview.com/review/twisted-v-8-espresso/,https://www.jbccoffeeroasters.com/product-category/coffee/
92,JBC Coffee Roasters,Piura Peru,Aug 2023,"Sweetly chocolaty and nut-toned. Baking chocolate, almond brittle, gardenia, cherry soda, cedar in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Chocolaty, almondy finish.",https://www.coffeereview.com/review/piura-peru/,https://www.jbccoffeeroasters.com/product-category/coffee/
95,Euphora Coffee,Panama Hacienda La Esmeralda Geisha Natural,Aug 2023,"Richly fruity, deeply chocolaty. Dark chocolate, dried peach, honeysuckle, maple syrup, marjoram in aroma and cup. Richly sweet structure with fruit-toned acidity; plush, syrupy-smooth mouthfeel. The long, resonant finish centers around notes of dark chocolate and honeysuckle.",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-natural/,https://www.euphoracoffeestudio.com/categories/coffee-review
95,Euphora Coffee,Panama Hacienda La Esmeralda Geisha Washed,Aug 2023,"High-toned, juicy-sweet. Lemongrass, cocoa nib, magnolia, amber, bergamot in aroma and cup. Brightly sweet structure with juicy, sparkling acidity; very full, syrupy mouthfeel. The resonant finish leads with notes of lemongrass and cocoa nib, supported by sweet magnolia.",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-geisha-washed-2/,https://www.euphoracoffeestudio.com/categories/coffee-review
96,Rusty's Hawaiian,Grand Champion Red Bourbon Natural,Aug 2023,"Delicately fruit-forward, richly aromatic. Lychee, tangerine, wild honey, tarragon, sandalwood in aroma and cup. Sweet, gently tart acidity; plush, syrupy-smooth mouthfeel. Integrated, long, flavor-saturated finish. ",https://www.coffeereview.com/review/grand-champion-red-bourbon-natural/,
95,Speckled Ax,Sumatra Lintong Kardon,Aug 2023,"Richly earthy, deeply spice-toned. Graphite, pink peppercorn, guava, fresh-cut cedar, lemon verbena in aroma and cup. Crisply sweet-savory with gently bright acidity; very full, satiny mouthfeel. Pleasing savory-leaning finish centered around graphite and pink peppercorn with undertones of sweet-tart guava. ",https://www.coffeereview.com/review/sumatra-lintong-kardon/,
94,GK Coffee,Panama Finca Don Julian Geisha Washed,Aug 2023,"Brightly sweet, floral-toned. Narcissus, pink grapefruit, apricot, almond butter, bay leaf in aroma and cup. High-toned acidity; very smooth, silky mouthfeel. The resonant finish amplifies narcissus and almond.",https://www.coffeereview.com/review/panama-finca-don-julian-geisha-washed/,https://www.gkcoffee.com.tw
93,Barrington Coffee Roasting Co.,Guatemala Diamante Perez,Aug 2023,"Richly chocolaty, boldly structured. Dark chocolate, pomegranate, fresh-cut oak, agave syrup, oregano in aroma and cup. Sweet-tart with a dry, tannic structure and gently bright acidity; crisp, satiny mouthfeel. The harmonious finish consolidates to dark chocolate and oregano.",https://www.coffeereview.com/review/guatemala-diamante-perez/,https://barringtoncoffee.com
93,Kakalove Cafe,Taiwan Nantou Yuchi Kanon Estate SL34 Natural,Aug 2023,"Richly sweet-savory. Salted caramel, tamarind, hazelnut, freesia, green peppercorn in aroma and cup. Briskly sweet acidity; plush, syrupy-smooth mouthfeel. The lingering finish leads with salted caramel and tamarind.",https://www.coffeereview.com/review/taiwan-nantou-yuchi-kanon-estate-sl34-natural/,http://www.kakalovecafe.com.tw/
93,Small Eyes Cafe,Ethiopia Gediyo Yirgacheffe Burtukan Wako Natural G1,Aug 2023,"Richly sweet, crisply floral. Magnolia, cashew, maple syrup, dried nectarine, myrrh in aroma and cup. Sweetly tart structure with bright, juicy acidity; silky-smooth mouthfeel. The crisp finish highlights notes of almond and myrrh. ",https://www.coffeereview.com/review/ethiopia-gediyo-yirgacheffe-burtukan-wako-natural-g1/,
92,Equator Coffees,Burundi Women of Turihamwe,Aug 2023,"Berry-driven, spice-toned. Mulberry, clove, ginger blossom, oak, baking chocolate in aroma and cup. Sweetly brisk acidity; very full, syrupy mouthfeel. The spice-toned finish leads with notes of ginger blossom and clove.",https://www.coffeereview.com/review/burundi-women-of-turihamwe/,https://www.equatorcoffees.com/
92,Nostalgia Coffee Roasters,Glory Days,Aug 2023,"Deep-toned, crisply chocolaty. Dark chocolate, dried cherry, cashew, gently scorched cedar, gardenia in aroma and cup. Richly sweet with mild acidity; viscous, syrupy mouthfeel. Very chocolaty finish with undertones of dried cherry and gardenia.",https://www.coffeereview.com/review/glory-days-3/,http://bit.ly/2WmKMJ9
92,Wonderstate Coffee,Ethiopia Idido Tiluse Honey Process,Aug 2023,"Deep-toned, sweetly citrusy. Pomelo, cantaloupe, cocoa nib, lemon-thyme, caramel in aroma and cup. Gently bright acidity; crisp, satiny mouthfeel. The finish consolidates to pretty notes of lemon-thyme and cantaloupe.",https://www.coffeereview.com/review/ethiopia-idido-tiluse-honey-process/,
91,Cafecita,Queen’s Crown Rwanda,Aug 2023,"Round, cocoa-toned, richly bittersweet. Cocoa nib, date, maple syrup, walnut, fresh-cut fir in aroma and cup. Softly brisk structure; lightly syrupy mouthfeel. Flavor consolidates around walnut and maple syrup in a crisp finish. ",https://www.coffeereview.com/review/queens-crown-rwanda/,
94,Jaunt Coffee Roasters,Colombia Finca La Roca,Aug 2023,"Juicy, fruit-driven. Dried apricot, rambutan, cocoa nib, magnolia, bergamot in aroma and cup. Sweetly tart structure with bright, vibrant acidity; full, syrupy-smooth mouthfeel. Floral finish with dried apricot undertones.",https://www.coffeereview.com/review/colombia-finca-la-roca/,https://jauntcoffee.com/
93,Jaunt Coffee Roasters,Colombia La Esperanza,Aug 2023,"Tangy-sweet, richly aromatic. Tamarind, salted caramel, cedar, magnolia, lemon yogurt in aroma and cup. Briskly sweet-tart acidity; very full, creamy-smooth mouthfeel. Tart-leaning finish with ballast from caramel notes.",https://www.coffeereview.com/review/colombia-la-esperanza-3/,https://jauntcoffee.com/
92,Forgotten Forest,Tanama Domenico Celli Borrero Anaerobic Natural,Aug 2023,"Richly sweet, balanced. Pomegranate, vanilla bean, rum barrel, lemon yogurt, honey in aroma and cup. Sweet-savory structure with brisk acidity; lightly satiny mouthfeel. Crisp, fruit-toned finish with hints of rum barrel and vanilla.",https://www.coffeereview.com/review/tanama-domenico-celli-borrero-anaerobic-natural/,
95,Big Shoulders Coffee,Ethiopia YirgZ,Aug 2023,"Deeply aromatic, rich-toned. Bergamot, nectarine, cocoa nib, hazelnut butter, wisteria in aroma and cup. Sweetly spice-toned with juicy, integrated acidity; silky, viscous mouthfeel. Balanced, long, very bright finish.",https://www.coffeereview.com/review/ethiopia-yirgz/,https://www.bigshoulderscoffee.com/
94,Big Shoulders Coffee,Colombia Patio Bonita,Aug 2023,"Richly cocoa-toned, citrusy. Tangerine, dark chocolate, pecan, marjoram, narcissus in aroma and cup. Gently bright acidity; crisp, creamy mouthfeel. Chocolaty finish with undertones of tangerine and pecan. ",https://www.coffeereview.com/review/colombia-patio-bonita/,https://www.bigshoulderscoffee.com/
94,Big Shoulders Coffee,Ethiopia Yirgacheffe Farmgate,Aug 2023,"Delicately fruit-forward. Dried strawberry, cherry blossom, honey, sandalwood, tangerine zest in aroma and cup. Sweetly tart with balanced, fruit-toned acidity; very full, syrupy mouthfeel. Crisply berry-driven finish.",https://www.coffeereview.com/review/ethiopia-yirgacheffe-farmgate/,https://www.bigshoulderscoffee.com/
93,Coffee By Design,Ethiopia Ardi Yeast Natural,Jul 2023,"Very sweet, fruit-driven. Honeydew melon, Froot Loops cereal, cocoa nib, orange zest, oak in aroma and cup. Briskly sweet acidity; very full, syrupy mouthfeel. The finish is long, sweet, and fruit-toned.",https://www.coffeereview.com/review/ethiopia-ardi-yeast-natural/,
93,Nostalgia Coffee Roasters,Sumatra Ketiara,Jul 2023,"Deep-toned, earthy-sweet. Dark chocolate, petrichor, freesia, tangerine zest, cedar in aroma and cup. Savory-leaning structure with brisk acidity; plush, creamy mouthfeel. Chocolaty finish with undertones of sweet earthiness.",https://www.coffeereview.com/review/sumatra-ketiara-2/,http://bit.ly/2WmKMJ9
94,Bargain Cafe,Promise of Spring,Jul 2023,"Richly fruit-toned, juicy-sweet. Dried cherry, almond butter, cocoa nib, narcissus, oak in aroma and cup. Brightly sweet-tart acidity; plush, syrupy-smooth mouthfeel. Dried cherry and almond butter lead in the resonant finish.",https://www.coffeereview.com/review/promise-of-spring/,https://www.bargain-cafe.com/
94,Small Eyes Cafe,Ethiopia Gesha Rebecca Natural,Jul 2023,"Complex, richly fruit-toned. Lychee, dark chocolate, sandalwood, honey, wisteria in aroma and cup. Brightly sweet with juicy, balanced acidity; full, very silky mouthfeel. Long, lingering finish resonant with honey and wisteria. ",https://www.coffeereview.com/review/ethiopia-gesha-rebecca-natural/,
90,Pegasus Coffee,Mocha Java Blend,Jul 2023,"Crisply fruit-forward, gently spice-toned. Raspberry, nutmeg, walnut, amber, baking chocolate in aroma and cup. Sweet structure with gently round acidity; full, velvety mouthfeel. Finish consolidates to notes of baking chocolate and nutmeg.",https://www.coffeereview.com/review/mocha-java-blend-9/,
91,Kafe Coffee Roastery,Colombia Huila El Vergel Yellow Fruit Anaerobic,Jul 2023,"Crisply sweet-savory, gently lactic. Pineapple yogurt, lemon balm, baking chocolate, sandalwood, marjoram in aroma and cup. Sweet-savory structure with tangy acidity; soft, satiny mouthfeel. Fruit- and cocoa-toned finish.",https://www.coffeereview.com/review/colombia-huila-el-vergel-yellow-fruit-anaerobic/,https://shopee.tw/zengkaochen
91,Gee Coffee Roasters,Biodynamic Washed Geisha,Jul 2023,"Crisply sweet, gently floral. Apricot, magnolia, baking chocolate, lemon zest, fresh-cut fir in aroma and cup. Brisk acidity; lightly silky mouthfeel. The wood-framed finish is supported by notes of lemon zest and magnolia.",https://www.coffeereview.com/review/biodynamic-washed-geisha/,
96,Paradise Roasters,Colombia Finca El Paraíso Geisha Sake,Jul 2023,"Exuberantly aromatic, rich, very complex. Bergamot, Concord grape, ginger blossom, pistachio, lychee in aroma and cup. Juicy-bright, exceptionally high-toned acidity; lush, silky mouthfeel. Rich, pungent, crisply sweet finish.",https://www.coffeereview.com/review/colombia-finca-el-paraiso-geisha-sake/,https://paradiseroasters.com/
94,Roadmap CoffeeWorks,Tanzania Nyasi Furaha,Jul 2023,"Brightly sweet-tart, vibrant. Berry melange, cocoa nib, star jasmine, agave syrup, cedar in aroma and cup. Juicy, high-toned acidity; crisp, very syrupy mouthfeel. The sweet-toned finish centers around notes of raspberry and cocoa nib with undertones of star jasmine.",https://www.coffeereview.com/review/tanzania-nyasi-furaha/,https://roadmapcoffeeworks.com/
95,Kakalove Cafe,Kenya Gachatha AA Top,Jul 2023,"Sweetly tart, richly savory. Magnolia, pink grapefruit zest, ripe blackberry, dark chocolate, toffee in aroma and cup. Brightly sweet, complex structure with high-toned acidity; plush, very syrupy mouthfeel. Magnolia and blackberry notes lead in the long, resonant finish.",https://www.coffeereview.com/review/kenya-gachatha-aa-top/,http://www.kakalovecafe.com.tw/
93,Conscious Cup Coffee Roasters,Costa Rica Finca Mirella,Jul 2023,"Gently fruit-forward, balanced. Black cherry, tea rose, walnut, baking chocolate, cedar in aroma and cup. Bold, brisk acidity; very full, syrupy mouthfeel. Finish consolidates to notes of black cherry and cedar. ",https://www.coffeereview.com/review/costa-rica-finca-mirella/,https://www.consciouscup.com/
94,Buon Caffe,Kenya Nyeri Gatuya Factory AA Top,Jul 2023,"Richly sweet-savory, juicy-bright. Dark chocolate, hop flowers, apricot, tangerine zest, cedar in aroma and cup. High-toned, lively acidity; crisp, syrupy mouthfeel. The resonant finish sustains its flavor-saturated structure far into the long.",https://www.coffeereview.com/review/kenya-nyeri-gatuya-factory-aa-top/,https://www.buoncaffe.com.tw/
91,Paradise Roasters,Moonbow Decaf Espresso,Jul 2023,"Evaluated as espresso. Richly chocolaty, gently fruit-forward. Dark chocolate, dried plum, rhododendron, roasted almond, fresh-cut fir in aroma and small cup. Very syrupy mouthfeel; crisply chocolaty, wood-framed finish. In cappuccino-scaled milk, attractive notes of dark chocolate and dried plum dominate.",https://www.coffeereview.com/review/moonbow-decaf-espresso-2/,https://paradiseroasters.com/
94,Buon Caffe,Costa Rica Tarrazu Double Anaerobic Washed,Jul 2023,"Richly sweet-tart, complex. Pineapple kefir, lilac, dark chocolate, amber, honey in aroma and cup. Bright, juicy acidity; satiny, viscous mouthfeel. A long finish centers around pineapple, amber and honey notes.",https://www.coffeereview.com/review/costa-rica-tarrazu-double-anaerobic-washed/,https://www.buoncaffe.com.tw/
93,Kakalove Cafe,Ethiopia Natural Bench Maji Lucy Station Gesha,Jul 2023,"Richly aromatic, fruit-forward. Mulberry, almond nougat, lemon verbena, cocoa nib, cedar in aroma and cup. Sweetly tart structure with juicy acidity; lightly satiny mouthfeel. Crisp, fruity, cocoa-toned finish.",https://www.coffeereview.com/review/ethiopia-natural-bench-maji-lucy-station-gesha/,http://www.kakalovecafe.com.tw/
92,Conscious Cup Coffee Roasters,Sumatra Pantan Musara,Jul 2023,"Sweetly spice-toned. Nutmeg, baking chocolate, cranberry, oak, rhododendron in aroma and cup. Pert acidity; plush, creamy mouthfeel. Notes of baking chocolate, cranberry and oak lead in a resonant finish.",https://www.coffeereview.com/review/sumatra-pantan-musara-4/,https://www.consciouscup.com/
92,Conscious Cup Coffee Roasters,Honduras Finca El Colibri,Jul 2023,"Crisply cocoa-toned, quietly fruit-forward. Cocoa powder, mulberry, caramel, fir, orange zest in aroma and cup. Gentle acidity; crisp, lightly satiny mouthfeel. Cocoa-toned finish with notes of caramel and fir.",https://www.coffeereview.com/review/honduras-finca-el-colibri/,https://www.consciouscup.com/
92,Buon Caffe,Ethiopia Sidamo Arbegona 74158 Natural,Jul 2023,"Understated, crisply sweet. Walnut, cocoa powder, maple syrup, pear, wine barrel in aroma and cup. Softly brisk acidity; lightly syrupy mouthfeel. Flavor consolidates around maple syrup and walnut notes in the gently drying finish.",https://www.coffeereview.com/review/ethiopia-sidamo-arbegona-74158-natural/,https://www.buoncaffe.com.tw/
90,Philipsburg Coffee Roasters,Draft Horse Espresso,Jul 2023,"Evaluated as espresso. Sweetly roast-rounded, chocolaty. Dark chocolate, caramel, gently scorched oak, almond, gardenia in aroma and small cup. Crisp, velvety mouthfeel; gently drying, chocolaty finish. In three parts milk, gardenia and dark chocolate notes harmonize nicely.",https://www.coffeereview.com/review/draft-horse-espresso/,
90,Lee Dong Coffee,Ethiopian Yirgacheffe 74110 Solar,Jul 2023,"Crisply sweet, balanced. Baking chocolate, plum, magnolia, cedar, almond in aroma and cup. Sweet-tart structure with brisk acidity; velvety-smooth mouthfeel. The gently drying finish consolidates to almond and cedar.",https://www.coffeereview.com/review/ethiopian-yirgacheffe-74110-solar/,https://www.facebook.com/LiDongcoffee/
90,Buon Caffe,Ethiopia Sidama Bursa Kebele Washed,Jul 2023,"Quietly sweet-tart. Pomegranate, fir, caramel, freesia, almond in aroma and cup. Brisk acidity; lightly satiny mouthfeel. Sweetly wood-framed finish supported by suggestions of freesia.",https://www.coffeereview.com/review/ethiopia-sidama-bursa-kebele-washed/,https://www.buoncaffe.com.tw/
90,Buon Caffe,Brasil Ipanema Premier Cru BLUE A50 Red Anaerobic Natural,Jul 2023,"Crisply sweet-savory. Date, ginkgo, vanilla yogurt, fir, saltwater taffy in aroma and cup. Tart-leaning acidity; velvety mouthfeel. Gently drying, tart finish. ",https://www.coffeereview.com/review/brasil-ipanema-premier-cru-blue-a50-red-anaerobic-natural/,https://www.buoncaffe.com.tw/
98,JBC Coffee Roasters,Wilton Benitez Pink Bourbon Colombia,Jul 2023,"Wildly expressive, richly compelling. Blackberry jam, sweet cream, frankincense, honeysuckle, dried pineapple in aroma and cup. Wine-like, very juicy, integrated acidity; plush, syrupy mouthfeel. Very long, very complex finish that leads with notes of wild blackberry and frankincense. ",https://www.coffeereview.com/review/wilton-benitez-pink-bourbon-colombia/,https://www.jbccoffeeroasters.com/product-category/coffee/
95,Magnolia Coffee,Costa Rica Las Lajas SL28 Natural,Jul 2023,"Floral-toned, rich with fruit. Star jasmine, passionfruit, cocoa nib, wild honey, cedar in aroma and cup. Brightly sweet acidity; very syrupy mouthfeel. Long, lingering, integrated finish.",https://www.coffeereview.com/review/costa-rica-las-lajas-sl28-natural/,https://magnoliacoffeeco.com/
95,JBC Coffee Roasters,Nano Genji #12 Ethiopia,Jul 2023,"Delicate, complex, high-toned. Bergamot, plumeria, lemongrass, cocoa nib, dried apricot in aroma and cup. Juicy, balanced acidity; exceptionally silky mouthfeel. The finish fulfills the promise of the cup, carrying forward all of the flavor and aroma notes.",https://www.coffeereview.com/review/nano-genji-12-ethiopia/,https://www.jbccoffeeroasters.com/product-category/coffee/
93,Green Stone Coffee,Rose Fruit Dew B40,Jul 2023,"Raspberry jam, toffee, dark chocolate, lilac, hint of teriyaki sauce in aroma and cup. Sweetly tart structure with brisk acidity; plush, syrupy mouthfeel. Savory-leaning in the resonant finish with notes of teriyaki sauce supported by dark chocolate. ",https://www.coffeereview.com/review/rose-fruit-dew-b40/,
92,David's Nose,Costa Rica Aquiares Estate Dark-Roast,Jul 2023,"Deeply chocolaty, richly floral. Dark chocolate, gently scorched oak, gardenia, lily, raspberry in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Chocolaty finish with undertones of smoky oak and gardenia.",https://www.coffeereview.com/review/costa-rica-aquiares-estate-dark-roast/,https://www.dnose.com.tw/
91,White Rhino Coffee,Costa Rica White Honey,Jul 2023,"Delicately fruit-toned, wood-framed. Plum, fresh-cut cedar, lily, cocoa powder, orange zest in aroma and cup. Sweet-tart structure with brisk acidity; delicate, silky mouthfeel. Cocoa nib and orange zest carry the crisp, quiet finish.",https://www.coffeereview.com/review/costa-rica-white-honey/,
95,Mostra Coffee,Gesha Spirits,Jul 2023,"Complex, richly floral-toned. Lavender, cocoa nib, starfruit, ginseng, honey in aroma and cup. Bright balanced acidity; vibrant, silky mouthfeel. The long, resonant finish, sweet and multi-layered, fulfills the promise of the cup.",https://www.coffeereview.com/review/gesha-spirits-2/,https://mostracoffee.com/collections/coffee
94,HWC Coffee,Panama HWC Coffee Estate Washed,Jul 2023,"Sweetly tart, delicately complex. White peach, honeysuckle, tangerine zest, caramel, elm in aroma and cup. Apple-like acidity; vibrant, silky mouthfeel. Quiet but long, harmonious finish.",https://www.coffeereview.com/review/panama-hwc-coffee-estate-washed/,https://www.hwcroasters.com
92,Mostra Coffee,Philippine Rosemarie Rupecio,Jul 2023,"Sweetly nut-toned, richly bittersweet. Almond toffee, sarsparilla, lemon verbena, cane sugar, cedar in aroma and cup. Brisk acidity; crisp, satiny mouthfeel. Finish consolidates to notes of cedar and lemon verbena.",https://www.coffeereview.com/review/philippine-rosemarie-rupecio/,https://mostracoffee.com/collections/coffee
92,HWC Coffee,Panama HWC Coffee Estate Natural,Jul 2023,"Crisply sweet-savory. Cocoa powder, cherry liqueur, pine, marjoram, brown sugar in aroma and cup. Bittersweet with brisk acidity; full, syrupy mouthfeel. Wood-framed finish with hints of cocoa powder and cherry liqueur. ",https://www.coffeereview.com/review/panama-hwc-coffee-estate-natural/,https://www.hwcroasters.com
