0
multiple
"Nyeri growing region, Kenya"
"Jambi Province, Sumatra, Indonesia"
Honduras
"Nuevo Oriente growing region, Guatemala"
Bolivia
"Puna growing region, Big Island, Hawaii"
"Ngorongoro growing region, Tanzania"
"Risaralda Department, Colombia"
"Cundinamarca Department, Colombia"
Indonesia
"Karongi District, Western Province, Rwanda"
"Muranga growing region, Kenya"
"Nueva Segovia, Nicaragua"
Peru
Dominican Republic
"Sa’dah Governorate, Yemen"
Costa Rica
"Rutsiro District, Western Province, Rwanda"
"Mantiqueira de Minas growing region, Minas Gerais State, Brazil"
"Blue Mountain growing region, Jamaica"
"Mbinga growing region, Tanzania"
"Northern Province, Rwanda"
"Nyaruguru District, Southern Province, Rwanda"
"Nyamagabe District, Southern Province, Rwanda"
"Amhara Region, Ethiopia"
"Yunlin County, Taiwan"
"Puno growing region, Peru"
"Suchitan, Guatemala"
"Rulindo District, Northern Province, Rwanda"
"Taitung County, Taiwan"
"Chumphon Province, Southern growing region, Thailand"
"Kauai, Hawaii"
"Nueva Suiza, Chiriquí, Panama"
"Kericho growing region, Kenya"
"Phayao Province, Northern growing region, Thailand"
Taiwan
"Tecapa-Chinameca growing region, El Salvador"
"Bungoma region, Kenya"
"Kisii growing region, Kenya"
"Galapagos, Ecuador"
South Africa
Yemen
"Bhirkune Village, Nuwakot District, Nepal"
"Arusha growing region, Tanzania"
Madagascar
Brazil
Jamaica
Central America
"Limu growing region, Oromia Region, Ethiopia"
"Sandy Bay Valley, Saint Helena Island"
Zambia
"Kula growing region, Maui, Hawaii"
"Harrar growing region, Ethiopia"
"Tarime growing region, Tanzania"
"Boyacá Department, Colombia"
"California, USA"
"Northern growing region, Thailand"
"Western Region, Uganda"
"Guanacaste growing region, Costa Rica"
"Flores, Indonesia"
"La Unión Department, El Salvador"
Ecuador
"Madriz Department, Nicaragua"
"Mya Ze Di Village, Ywangan Township, Myanmar"
"Espirito Santo State, Brazil"
"Eastern Highlands, Zimbabwe"
"Southern Province, Rwanda"
India
"Lambayeque growing region, Peru"
"South Sumatra, Sumatra, Indonesia"
Nicaragua
"Madre de Dios growing region, Peru"
Laos
"Colima, Mexico"
"Nyanza District, Southern Province, Rwanda"
"Yungas growing region, Bolivia"
"Rusizi District, Western Province, Rwanda"
"Chichontepec growing region, El Salvador"
"Gamo Gofa growing region, Ethiopia"
Hawaii
"Ka'anapali growing region, Maui, Hawaii"
"Waialua growing region, Oahu, Hawaii"
"Mamasa growing region, Sulawesi, Indonesia"
Mexico
"Lekempti growing region, Ethiopia"
Papua New Guinea
"Big Island, Hawaii"
Malawi
"Morobe Province, Papua New Guinea"
The Philippines
"Cacahuatique growing region, El Salvador"
"Tres Rios growing region, Costa Rica"
"Fazenda Cachoeira da Grama, Mogiana Region, Brazil"
"Central Province, Zambia"
East Timor
"Hamakua growing region, Big Island, Hawaii"
"Tamil Nadu growing region, India"
Bali
"Kigoma growing region, Tanzania"
"Planalto de Bahia growing region, Bahia State, Brazil"
"Northern Rivers region, New South Wales, Australia"
"Coorg growing region, India"
"Parana growing region, Parana State, Brazil"
Thailand
"Esteli Department, Nicaragua"
"Agalta growing region, Honduras"
Cameroon
"San Cristobal, Galapagos Islands"
"Chikmagalur growing region, India"
"Molokai, Hawaii"
Various
