,url
3148,https://www.coffeereview.com/review/passport-collection-kenya-ichamara/
3149,https://www.coffeereview.com/review/ethiopia-yirgacheffe-aricha-2/
3154,https://www.coffeereview.com/review/ethiopia-limu-natural-no-701/
3189,https://www.coffeereview.com/review/reserve-ethiopia-halo-bariti-coop/
3194,https://www.coffeereview.com/review/uganda-kayurumba/
3209,https://www.coffeereview.com/review/lauras-reserve-sl-28-2/
3213,https://www.coffeereview.com/review/greater-goods-coffee-roasters/
3217,https://www.coffeereview.com/review/100-kona-high-mountain-io-fancy/
3246,https://www.coffeereview.com/review/fresh-perspective-ethiopian/
3279,https://www.coffeereview.com/review/100-kona-bourbon-pointu-laurina/
3300,https://www.coffeereview.com/review/peru-cafe-femenino-2/
3322,https://www.coffeereview.com/review/panama-geisha/
3327,https://www.coffeereview.com/review/kenya-nyeri-thageini/
3342,https://www.coffeereview.com/review/hokulele-kona/
3352,https://www.coffeereview.com/review/sumatra-mandheling-21/
3377,https://www.coffeereview.com/review/ethiopia-yirgacheffe-22/
3391,https://www.coffeereview.com/review/guatemala-huehuetenango-9/
3400,https://www.coffeereview.com/review/honduras-finca-gaby/
3409,https://www.coffeereview.com/review/fto-ethiopia-gedeb/
3466,https://www.coffeereview.com/review/life-saver-guatemala-organic-finca-santa-rita/
3587,https://www.coffeereview.com/review/kenya-gakui-peaberry/
3603,https://www.coffeereview.com/review/reserve-100-panama-geisha/
3618,https://www.coffeereview.com/review/ethiopia-yirgacheffe-konga-2/
3623,https://www.coffeereview.com/review/lauras-reserve-sl-28/
3683,https://www.coffeereview.com/review/high-mountain-red-bourbon/
3763,https://www.coffeereview.com/review/high-mountain-io-fancy-light-roast/
3852,https://www.coffeereview.com/review/bali-kintamani-2/
3924,https://www.coffeereview.com/review/apex-blend/
3998,https://www.coffeereview.com/review/100-kona-high-mountain-io-extra-fancy/
4020,https://www.coffeereview.com/review/100-kona-grown-brazilian-typica/
4076,https://www.coffeereview.com/review/david-mancia-honduras/
4344,https://www.coffeereview.com/review/organic-rainforest-blend/
4364,https://www.coffeereview.com/review/guatemala-quetzel/
4438,https://www.coffeereview.com/review/ethiopia-yirgacheffe-kochere-grade-1r/
4498,https://www.coffeereview.com/review/lauras-blend-100-percent-kona-coffee-fancy/
4555,https://www.coffeereview.com/review/bolivia-taipiplaya-fair-trade-organic-certified/
4588,https://www.coffeereview.com/review/peaberry-medium-roast-2/
4717,https://www.coffeereview.com/review/guatemala-xeucalvitz-espresso-2/
4724,https://www.coffeereview.com/review/guatemala-xeucalvitz-2/
4746,https://www.coffeereview.com/review/ixil-aachimbal-guatemala/
4748,https://www.coffeereview.com/review/ibonia-kenya-peaberry/
4827,https://www.coffeereview.com/review/extra-fancy-kona-coffee-medium-roast/
5153,https://www.coffeereview.com/review/kona-fancy-natural/
5310,https://www.coffeereview.com/review/mele-100-kona-coffee/
5419,https://www.coffeereview.com/review/kona-sweet-100-kona/
5446,https://www.coffeereview.com/review/100-kona-private-reserve/
5817,https://www.coffeereview.com/review/100-kona-extra-fancy/
